x,y,raw,cumulative,Cloglog
1.0,1.0,1.0016E-3,0.715272463,0.148998878
2.0,2.0,6.35501E-3,34.93013087,0.640732359
3.0,3.0,2.91673E-3,5.492999594,0.374896189
4.0,4.0,2.18603E-3,3.379492594,0.296813712
5.0,5.0,1.23989E-3,1.29932437,0.181044401
6.0,6.0,7.63845E-3,77.276360695,0.707832547
7.0,7.0,1.34322E-3,1.565120958,0.194563121
8.0,8.0,9.69683E-4,0.61511215,0.144611946
9.0,9.0,1.02036E-3,0.81730855,0.151566352
10.0,10.0,2.56125E-3,4.083646069,0.33805705
11.0,11.0,1.78714E-3,2.356544659,0.250147313
12.0,12.0,2.9543E-3,6.083587692,0.378668177
13.0,13.0,5.41892E-3,18.711203633,0.582261111
14.0,14.0,3.24801E-3,6.70743815,0.407379197
15.0,15.0,6.02984E-4,0.060298403,0.092562726
16.0,16.0,9.41273E-4,0.422240716,0.140688387
17.0,17.0,2.72981E-3,4.356627207,0.355788266
18.0,18.0,2.23578E-3,3.603070899,0.3024269
19.0,19.0,1.16276E-3,0.933584935,0.170806866
20.0,20.0,8.51251E-4,0.145423551,0.128136712
21.0,21.0,1.21349E-3,1.175335697,0.177554333
22.0,22.0,1.31475E-3,1.430799121,0.190860753
23.0,23.0,2.95158E-3,5.788157231,0.378395057
24.0,24.0,6.29736E-3,31.766952717,0.637380664
25.0,25.0,1.34762E-3,1.699882874,0.195133889
26.0,26.0,2.9905E-3,6.382637512,0.382280123
27.0,27.0,9.59031E-4,0.518143833,0.143142959
28.0,28.0,1.65665E-3,2.000755771,0.234219198
29.0,29.0,2.01529E-3,2.948087211,0.277205938
30.0,30.0,7.74737E-3,81.885799401,0.712914358
31.0,31.0,1.20402E-3,1.053986991,0.17629923
32.0,32.0,1.35208E-3,1.835090663,0.195711758
33.0,33.0,1.77075E-3,2.177830922,0.248165468
34.0,34.0,1.88919E-3,2.545463735,0.262373468
35.0,35.0,8.96683E-4,0.235091832,0.134493929
36.0,36.0,9.30216E-4,0.328113401,0.13915644
37.0,37.0,2.89178E-3,5.201326472,0.372378571
38.0,38.0,2.01094E-3,2.746557727,0.276698715
39.0,39.0,4.02834E-3,9.003810968,0.477379496
40.0,40.0,2.7599E-3,4.632617266,0.358903126
41.0,41.0,3.64828E-3,7.072266322,0.444384255
42.0,42.0,5.38332E-3,18.169311879,0.579859076
43.0,43.0,2.79531E-3,4.912148596,0.362549793
