Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.02984E-4,0.060298403,0.092562726,1,0,0
8.51251E-4,0.145423551,0.128136712,0.994382022,0,0
8.96683E-4,0.235091832,0.134493929,0.988764045,0,0
9.30216E-4,0.328113401,0.13915644,0.983146067,0,0
9.41273E-4,0.422240716,0.140688387,0.97752809,0,0
9.59031E-4,0.518143833,0.143142959,0.971910112,0,0
9.69683E-4,0.61511215,0.144611946,0.966292135,0,0
1.0016E-3,0.715272463,0.148998878,0.960674157,0,0
1.02036E-3,0.81730855,0.151566352,0.95505618,0,0
1.16276E-3,0.933584935,0.170806866,0.949438202,0,0
1.20402E-3,1.053986991,0.17629923,0.943820225,0,0
1.21349E-3,1.175335697,0.177554333,0.938202247,0,0
1.23989E-3,1.29932437,0.181044401,0.93258427,0,0
1.31475E-3,1.430799121,0.190860753,0.926966292,0,0
1.34322E-3,1.565120958,0.194563121,0.921348315,0,0
1.35208E-3,1.835090663,0.195711758,0.91011236,0,0
1.65665E-3,2.000755771,0.234219198,0.904494382,0,0
1.78714E-3,2.356544659,0.250147313,0.893258427,0,0
1.88919E-3,2.545463735,0.262373468,0.887640449,0,0
2.01529E-3,2.948087211,0.277205938,0.876404494,0,0
2.12802E-3,3.160889679,0.290212651,0.870786517,0,0
2.18603E-3,3.379492594,0.296813712,0.865168539,0.007407407,0
2.23578E-3,3.603070899,0.3024269,0.859550562,0.007407407,0
2.2445E-3,3.827520726,0.303405521,0.853932584,0.007407407,0
2.56125E-3,4.083646069,0.33805705,0.848314607,0.014814815,0
2.72981E-3,4.356627207,0.355788266,0.842696629,0.014814815,0
2.7599E-3,4.632617266,0.358903126,0.837078652,0.014814815,0
2.79531E-3,4.912148596,0.362549793,0.831460674,0.014814815,0
2.89178E-3,5.201326472,0.372378571,0.825842697,0.014814815,0
2.91673E-3,5.492999594,0.374896189,0.820224719,0.014814815,0
2.95158E-3,5.788157231,0.378395057,0.814606742,0.014814815,0
2.9543E-3,6.083587692,0.378668177,0.808988764,0.014814815,0
2.9905E-3,6.382637512,0.382280123,0.803370787,0.014814815,0
3.24801E-3,6.70743815,0.407379197,0.797752809,0.014814815,0
3.64828E-3,7.072266322,0.444384255,0.792134831,0.014814815,0
3.6914E-3,7.441406161,0.448229852,0.786516854,0.014814815,0
3.76049E-3,7.817455425,0.454336977,0.780898876,0.022222222,0
3.90194E-3,8.207649191,0.466629055,0.775280899,0.02962963,0
3.93328E-3,8.600976839,0.469314817,0.769662921,0.037037037,0
4.02834E-3,9.003810968,0.477379496,0.764044944,0.044444444,0
4.05171E-3,9.408981953,0.479343094,0.758426966,0.044444444,0
4.19458E-3,9.828440198,0.491188881,0.752808989,0.051851852,0
4.42369E-3,10.27080937,0.509624649,0.747191011,0.059259259,0
4.46147E-3,10.716956835,0.512600113,0.741573034,0.066666667,0
4.53588E-3,11.170544717,0.518406875,0.735955056,0.074074074,0
4.5856E-3,11.629104231,0.522248303,0.730337079,0.081481481,0
4.74969E-3,12.104073304,0.534711321,0.724719101,0.088888889,0
