X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.006250136353445249,30.511200974502845,0.6346116155258157
2.0,2.0,train,0.006301867447859272,32.39678284886073,0.6376437570997511
3.0,3.0,train,0.004749690732140717,12.10408450858132,0.5347113212206237
4.0,4.0,train,0.006041370433850525,26.819886153255204,0.6221151122577533
5.0,5.0,train,0.00625914856271142,31.13711669813253,0.6351416719662519
6.0,6.0,train,0.006811311602068638,45.45852444908368,0.666192416637795
7.0,7.0,train,0.006819671674726973,47.500832185126285,0.666641642930623
8.0,8.0,train,0.00749690343198998,70.47316973394416,0.7010946005378311
9.0,9.0,train,0.006099597931331646,28.034565418014665,0.6256429111501323
10.0,10.0,train,0.006116149660879205,28.64619222959194,0.6266396971289622
11.0,11.0,train,0.0064281243712722425,38.13256054047057,0.6449388935902056
12.0,12.0,train,0.006855104037628997,48.186480499921956,0.6685388903812977
13.0,13.0,train,0.008045903762877657,92.17577958055115,0.726393159461469
14.0,14.0,train,0.005670844184278311,21.508147831506903,0.5988741095742495
15.0,15.0,train,0.007355981360809463,66.01297279385494,0.6942317790071242
16.0,16.0,train,0.007731285877833859,81.11101209640024,0.7121694419401975
17.0,17.0,train,0.007338310803955769,65.27737901749832,0.6933601892170169
18.0,18.0,train,0.0074440750878737695,68.97715427754025,0.6985401279094393
19.0,19.0,train,0.005485494489078908,19.259786478184385,0.5867171959396251
20.0,20.0,train,0.0069867558474028795,53.04705154538443,0.6754941577797449
21.0,21.0,train,0.002244498270975547,3.8274762215000706,0.3034055213565652
22.0,22.0,train,0.007317106181949541,63.078125831957045,0.6923110036502326
23.0,23.0,train,0.007317106181949541,63.078125831957045,0.6923110036502326
24.0,24.0,train,0.007317106181949541,63.078125831957045,0.6923110036502326
25.0,25.0,train,0.0069996472764490905,53.74754943621423,0.6761673266784187
26.0,26.0,train,0.006803476391322746,44.775254045581015,0.6657708441253328
27.0,27.0,train,0.0036913983889381922,7.441392369091457,0.44822985188150744
28.0,28.0,train,0.005597862743587663,20.37559027079178,0.5941306004050413
29.0,29.0,train,0.007917624184345285,87.37795112905408,0.7206806019571519
30.0,30.0,train,0.007199033784413541,58.707241701567625,0.6864028981716082
31.0,31.0,train,0.00871403069988985,97.252801063489,0.7543106582575305
32.0,32.0,train,0.009984356263303969,99.99999696118003,0.7997754888534264
33.0,33.0,train,0.006745373360051198,43.417783379397925,0.6626279598150507
34.0,34.0,train,0.007647608412256517,78.04098897660687,0.7082634894453377
35.0,35.0,train,0.005862812930393365,23.817421691733323,0.6110883084747702
36.0,36.0,train,0.005861751426710657,23.231878919329315,0.6110218024569017
37.0,37.0,train,0.006708959847841259,42.743160816076404,0.6606432487413109
38.0,38.0,train,0.006350904011147762,34.29525020903906,0.6404947292102303
39.0,39.0,train,0.00800108371332902,88.96854206165192,0.7244106316410488
40.0,40.0,train,0.007904526926643942,86.58431646147382,0.7200906848542517
41.0,41.0,train,0.00800108371332902,88.96854206165192,0.7244106316410488
42.0,42.0,train,0.004051709853523266,9.408979413499669,0.47934309367234773
43.0,43.0,train,0.006423826634649895,36.847094506291796,0.644693001506405
44.0,44.0,train,0.0069996472764490905,53.74754943621423,0.6761673266784187
45.0,45.0,train,0.0072576947207702545,59.433163788703816,0.6893522193144574
46.0,46.0,train,0.006360091717690888,35.56618191100308,0.6410263994496659
47.0,47.0,train,0.00499708894314469,14.523100846874135,0.552889291186617
48.0,48.0,train,0.006425384141921697,37.49066221558394,0.6447821328956663
49.0,49.0,train,0.006972024227645811,51.651088676977885,0.6747231837886548
50.0,50.0,train,0.006047844042855416,27.424677645566714,0.6225089622843196
51.0,51.0,train,0.007016183058859213,55.149384251576514,0.6770287536174613
52.0,52.0,train,0.007036899298374437,55.85294646848442,0.6781047273366566
53.0,53.0,train,0.00765028868580758,78.80577525755947,0.708389418941243
54.0,54.0,train,0.00765028868580758,78.80577525755947,0.708389418941243
55.0,55.0,train,0.006871393561132944,48.8735735460511,0.6694074959429042
56.0,56.0,train,0.008525318479088212,95.52211207600742,0.7467274093503695
57.0,57.0,train,0.0067728599165826665,44.094984532802044,0.6641184174600563
58.0,58.0,train,0.007844799352949933,85.00687377968752,0.717384643611406
59.0,59.0,train,0.0056846929001372806,22.076464291387698,0.5997679442240991
60.0,60.0,train,0.0056846929001372806,22.076464291387698,0.5997679442240991
61.0,61.0,train,0.006313062908285291,33.6595884034184,0.6382966432728525
62.0,62.0,train,0.007459725705767763,69.72306449521673,0.6992991684682964
63.0,63.0,train,0.007667542270252944,80.33796103350903,0.7091987580945802
64.0,64.0,train,0.006477275214960279,38.78016741876817,0.6477389532358679
65.0,65.0,train,0.006039183653178263,25.617266682648648,0.6219819771623725
66.0,66.0,train,0.007509162757091415,71.22427965466163,0.701684289346068
67.0,67.0,train,0.007073358257268277,56.560272313439306,0.6799896585348271
68.0,68.0,train,0.005293005696148719,17.095783347410716,0.5737018855499523
69.0,69.0,train,0.00526986897169042,16.566578185752633,0.5721101308409666
70.0,70.0,train,0.007135337722225725,57.9853094647919,0.6831687057527103
71.0,71.0,train,0.0044236917165273466,10.270829640627957,0.5096246489188586
72.0,72.0,train,0.004813022355827171,14.02340121754403,0.5394339198107388
